community 0
order,index,name,u_value,percetage(%)
1,43,94,0.0734562753757,7.34562753757
2,154,362,0.0543699577931,5.43699577931
3,9,18,0.0455003602798,4.55003602798
4,64,152,0.0405708926924,4.05708926924
5,7,16,0.039801943476,3.9801943476
6,161,387,0.0366568549907,3.66568549907
7,156,375,0.0314233644307,3.14233644307
8,157,376,0.0308172501807,3.08172501807
9,172,403,0.0296226165112,2.96226165112
10,52,111,0.0259862622709,2.59862622709
11,78,186,0.0243672406127,2.43672406127
12,4,11,0.0224862787601,2.24862787601
13,97,221,0.020886458108,2.0886458108
14,37,84,0.0207914369419,2.07914369419
15,171,402,0.0199973935316,1.99973935316
16,59,138,0.0191352321651,1.91352321651
17,47,104,0.0187837850561,1.87837850561
18,44,95,0.0184288916512,1.84288916512
19,11,21,0.0165821869735,1.65821869735
20,149,353,0.0154433195624,1.54433195624
21,151,357,0.0150252564552,1.50252564552
22,90,212,0.014850070468,1.4850070468
23,17,37,0.0147328932337,1.47328932337
24,137,322,0.0144712015755,1.44712015755
25,130,310,0.0120463043936,1.20463043936
26,165,394,0.0120271532539,1.20271532539
27,131,311,0.0119905115989,1.19905115989
28,21,44,0.0117229041067,1.17229041067
29,134,315,0.0111693709818,1.11693709818
30,25,48,0.011158288923,1.1158288923
31,92,216,0.00952011392041,0.952011392041
32,95,219,0.0093591452002,0.93591452002
33,82,199,0.00928084043812,0.928084043812
34,33,67,0.00900089838791,0.900089838791
35,159,378,0.00836704913109,0.836704913109
36,10,20,0.00823631225476,0.823631225476
37,31,62,0.00820970150879,0.820970150879
38,109,246,0.00816555832728,0.816555832728
39,124,294,0.00706900926023,0.706900926023
40,128,306,0.00671956254941,0.671956254941
41,106,241,0.00657197726007,0.657197726007
42,15,33,0.00642469773631,0.642469773631
43,122,285,0.00635576928318,0.635576928318
44,146,344,0.00618576066037,0.618576066037
45,24,47,0.00602740510827,0.602740510827
46,62,142,0.00583652892702,0.583652892702
47,120,276,0.00551974625954,0.551974625954
48,132,312,0.00522449771761,0.522449771761
49,123,292,0.00498665102676,0.498665102676
50,89,211,0.00474125231467,0.474125231467
51,162,389,0.0046756919717,0.46756919717
52,46,101,0.00454204790855,0.454204790855
53,126,298,0.00452008699697,0.452008699697
54,19,41,0.00446838597965,0.446838597965
55,85,203,0.00446806991312,0.446806991312
56,28,58,0.00441660497207,0.441660497207
57,93,217,0.00419336794855,0.419336794855
58,2,5,0.0036863509927,0.36863509927
59,173,404,0.00366424564747,0.366424564747
60,142,337,0.00356947314382,0.356947314382
61,108,244,0.00351994363512,0.351994363512
62,119,274,0.00347235056151,0.347235056151
63,155,368,0.00332320699333,0.332320699333
64,127,300,0.00312086031674,0.312086031674
65,61,140,0.00307077698543,0.307077698543
66,160,379,0.00294875042579,0.294875042579
67,103,235,0.00283521096367,0.283521096367
68,150,355,0.00281859988054,0.281859988054
69,144,340,0.00279424082207,0.279424082207
70,56,120,0.00276976120006,0.276976120006
71,22,45,0.00276195688829,0.276195688829
72,69,166,0.00251483761603,0.251483761603
73,63,151,0.00243305354665,0.243305354665
74,140,334,0.00241826902093,0.241826902093
75,81,198,0.00230984885245,0.230984885245
76,118,272,0.0022324720515,0.22324720515
77,138,326,0.00214789520052,0.214789520052
78,30,60,0.00205114410038,0.205114410038
79,148,350,0.00188514083958,0.188514083958
80,73,172,0.00186533260546,0.186533260546
81,51,109,0.00181188961419,0.181188961419
82,174,407,0.00175439187732,0.175439187732
83,125,297,0.00171443355524,0.171443355524
84,53,113,0.00167290178152,0.167290178152
85,79,189,0.00159278776422,0.159278776422
86,96,220,0.00158881719013,0.158881719013
87,23,46,0.00158085536227,0.158085536227
88,99,223,0.00139207657103,0.139207657103
89,67,162,0.00110131487065,0.110131487065
90,49,107,0.000921311170984,0.0921311170984
91,87,207,0.000906194761197,0.0906194761197
92,158,377,0.000783132463575,0.0783132463575
93,75,177,0.000737694042618,0.0737694042618
94,27,54,0.000726285213107,0.0726285213107
95,114,258,0.000689228865168,0.0689228865168
96,39,86,0.00065771816307,0.065771816307
97,113,255,0.000591199272449,0.0591199272449
98,8,17,0.000582781185231,0.0582781185231
99,48,106,0.000563883746561,0.0563883746561
100,84,201,0.000483280632842,0.0483280632842
101,40,87,0.000476128388317,0.0476128388317
102,88,210,0.00047284527375,0.047284527375
103,13,28,0.000438015280739,0.0438015280739
104,38,85,0.000408862543486,0.0408862543486
105,34,69,0.000404930438681,0.0404930438681
106,76,181,0.000386467564939,0.0386467564939
107,45,99,0.000362968298593,0.0362968298593
108,115,261,0.000354339641446,0.0354339641446
109,18,40,0.000310097799346,0.0310097799346
110,80,196,0.000310097799346,0.0310097799346
111,166,395,0.000308236392901,0.0308236392901
112,86,204,0.000258885062817,0.0258885062817
113,1,3,0.000248850950594,0.0248850950594
114,26,53,0.000231615879601,0.0231615879601
