community 0
order,index,name,u_value,percetage(%)
1,3,18,0.0972104858678,9.72104858678
2,90,362,0.0818374902428,8.18374902428
3,25,94,0.0700606774542,7.00606774542
4,2,16,0.0471881758736,4.71881758736
5,31,111,0.0416574328095,4.16574328095
6,86,353,0.0328901065696,3.28901065696
7,87,357,0.0294660767606,2.94660767606
8,52,216,0.0276178584275,2.76178584275
9,14,48,0.0271163259627,2.71163259627
10,104,403,0.0270368902362,2.70368902362
11,26,95,0.0260326845688,2.60326845688
12,39,152,0.0257185632123,2.57185632123
13,12,44,0.0249643906938,2.49643906938
14,5,21,0.0246766438204,2.46766438204
15,10,38,0.0192283115175,1.92283115175
16,35,132,0.0190393915572,1.90393915572
17,46,186,0.0183074544611,1.83074544611
18,54,221,0.0179164978307,1.79164978307
19,73,298,0.017786419812,1.7786419812
20,94,375,0.0166466488094,1.66466488094
21,8,33,0.0156183452405,1.56183452405
22,56,224,0.0130804444062,1.30804444062
23,60,241,0.013034821112,1.3034821112
24,22,84,0.0122521769062,1.22521769062
25,15,49,0.0122388153397,1.22388153397
26,72,294,0.0117094364119,1.17094364119
27,83,344,0.0111379718959,1.11379718959
28,99,394,0.0104901383819,1.04901383819
29,62,252,0.0101418482813,1.01418482813
30,71,285,0.0100803091559,1.00803091559
31,33,119,0.00928103952114,0.928103952114
32,32,113,0.00923410530441,0.923410530441
33,79,336,0.00874788151308,0.874788151308
34,49,199,0.00802846708854,0.802846708854
35,51,215,0.00751543332754,0.751543332754
36,23,86,0.00744503054442,0.744503054442
37,40,167,0.00609714904362,0.609714904362
38,88,359,0.0056875202228,0.56875202228
39,45,183,0.00530529638706,0.530529638706
40,67,272,0.00511579901034,0.511579901034
41,9,37,0.00506586273476,0.506586273476
42,1,14,0.00506060815397,0.506060815397
43,95,378,0.00503808555487,0.503808555487
44,66,267,0.00503485543394,0.503485543394
45,38,142,0.00490459781901,0.490459781901
46,80,337,0.00484427564217,0.484427564217
47,91,365,0.00476713721368,0.476713721368
48,76,311,0.00476477916964,0.476477916964
49,98,393,0.00457912064416,0.457912064416
50,61,245,0.00444887654703,0.444887654703
51,55,222,0.00412524776945,0.412524776945
52,101,397,0.00405236673151,0.405236673151
53,37,139,0.00356167631044,0.356167631044
54,85,350,0.00333510978887,0.333510978887
55,59,237,0.00315565438448,0.315565438448
56,16,51,0.00306983037014,0.306983037014
57,4,20,0.0029771976696,0.29771976696
58,103,400,0.00264723041406,0.264723041406
59,96,379,0.00257601916161,0.257601916161
60,18,60,0.00256599020442,0.256599020442
61,21,82,0.0025580690446,0.25580690446
62,58,235,0.0022699081843,0.22699081843
63,47,189,0.00225165924584,0.225165924584
64,34,127,0.00193373816101,0.193373816101
65,17,58,0.00189565297701,0.189565297701
66,50,211,0.00189479157893,0.189479157893
67,6,22,0.0017495091638,0.17495091638
68,82,342,0.00172856026862,0.172856026862
69,48,198,0.00164716299188,0.164716299188
70,68,274,0.00149555416782,0.149555416782
71,75,306,0.00144217399219,0.144217399219
72,36,136,0.00142670563378,0.142670563378
73,64,258,0.00140547621987,0.140547621987
74,77,316,0.0013373675302,0.13373675302
75,102,398,0.00120126801774,0.120126801774
76,29,107,0.00118780303083,0.118780303083
77,81,340,0.00107158988938,0.107158988938
78,42,174,0.00103573422838,0.103573422838
79,53,218,0.00098573735177,0.098573735177
80,100,395,0.000951263527027,0.0951263527027
81,69,278,0.000722056224214,0.0722056224214
82,28,103,0.000705758253441,0.0705758253441
83,93,372,0.000468723942008,0.0468723942008
84,84,348,0.00038225563718,0.038225563718
85,30,110,0.000375172717115,0.0375172717115
86,24,87,0.000372382988621,0.0372382988621
87,13,47,0.000146959872975,0.0146959872975
88,41,171,0.000140986162952,0.0140986162952
89,89,361,9.01431897938e-07,9.01431897938e-05
90,19,62,1.75202554544e-10,1.75202554544e-08
